seed,plan_cost,naive_plan_cost,exec_us,rows,lineage,query
517,5471,15210,204,11,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.age AS c8314, t1.id, t0.id
FROM regions AS t0 FULL JOIN users AS t1 ON t0.id = t1.id
WHERE t0.id IS NOT NULL;"
518,1306180,2250775,2519,5000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT orders.customer_id
FROM orders LEFT JOIN departments ON orders.id = departments.id
ORDER BY orders.customer_id DESC;"
519,3794,7253,267,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 3; transformation 10 ProjectionPushdownThroughJoin: 3; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT t2.id, t0.id
FROM users AS t0 JOIN books AS t1 ON t0.id = t1.id LEFT JOIN departments AS t2 ON t0.id = t2.id
WHERE t1.id IS NULL
ORDER BY t2.id DESC, t0.id DESC;"
520,422,422,151,2,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT books.price
FROM books
WHERE (books.price != 55 OR (books.price BETWEEN 66 AND 66 AND books.id < 1));"
521,422,422,143,2,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT books.id AS c5535, books.price
FROM books
WHERE ((books.id < 3 OR books.id IS NULL) AND books.id IS NOT NULL);"
522,1342,1342,131,11,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM employees AS t0;"
523,10286,11526,343,170,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id, t2.id
FROM markets AS t0 FULL JOIN regions AS t1 ON t0.id = t1.id CROSS JOIN users AS t2;"
524,544,544,131,2,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT books.price
FROM books
WHERE books.price NOT IN (77);"
525,152440,477818,448,187,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT customers.region_id AS c7276, users.age, employees.department_id
FROM customers RIGHT JOIN employees ON customers.id = employees.id CROSS JOIN users
ORDER BY employees.department_id ASC;"
526,2320,2320,131,11,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM employees AS t0
WHERE ((t0.id != 2 AND t0.department_id < 3) OR (t0.department_id NOT IN (1, 33) OR t0.department_id NOT IN (31)));"
527,20391700,27531700,21735,16,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT users.id, users.age, COUNT(*) AS c3042, COUNT(users.age)
FROM orders CROSS JOIN users
WHERE orders.id IS NOT NULL
GROUP BY users.id, users.age;"
528,563,563,181,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, t0.region AS c5933
FROM markets AS t0
WHERE ((t0.id != 1 AND t0.region = 'AMERICA') AND (t0.id IS NOT NULL OR t0.region = 'EUROPE'))
GROUP BY t0.id, t0.region;"
529,1415835,2476590,3712,5000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 5,"SELECT orders.id, orders.customer_id, COUNT(*)
FROM departments FULL JOIN orders ON departments.id = orders.id FULL JOIN customers ON orders.id = customers.id
GROUP BY orders.id, orders.customer_id
ORDER BY orders.id DESC, orders.customer_id DESC;"
530,920550000,920550000,1297662,2500000,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.customer_id AS c9140, customers.region_id, customers.id
FROM customers CROSS JOIN orders
ORDER BY customers.region_id ASC, customers.id ASC, orders.customer_id DESC;"
531,570413,2255572,1095,0,transformation 5 FilterPushdownThroughJoin: 4; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT orders.customer_id, orders.id AS c4291, employees.department_id
FROM departments JOIN orders ON departments.id = orders.id LEFT JOIN employees ON orders.id = employees.id
WHERE orders.id IN (99);"
532,633,633,143,1,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id
FROM departments AS t0
WHERE (t0.id < 2 AND (t0.id IN (1, 1, 5) OR t0.id >= 5))
ORDER BY t0.id ASC;"
533,7775500,7775500,7589,25000,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id AS c1841, t1.id
FROM departments AS t0 CROSS JOIN orders AS t1
ORDER BY t0.id ASC;"
534,5903,17315,226,6,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT users.age AS c2013, COUNT(*) AS c86, COUNT(employees.department_id)
FROM employees JOIN users ON employees.id = users.id
WHERE users.id != 10
GROUP BY users.age
ORDER BY users.age ASC;"
535,1220,1220,126,10,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM regions AS t0;"
536,16891862,17771532,23633,55000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT orders.customer_id
FROM employees CROSS JOIN orders FULL JOIN markets ON orders.id = markets.id
ORDER BY orders.customer_id ASC;"
537,121968,668932,851,5,transformation 0 JoinCommutativity: 2; transformation 2 FilterSplit: 5; transformation 5 FilterPushdownThroughJoin: 4; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t1.region_id, t0.age, SUM(t0.id), COUNT(t2.id) AS c2707
FROM users AS t0 LEFT JOIN customers AS t1 ON t0.id = t1.id CROSS JOIN regions AS t2
WHERE ((t1.region_id >= 6 OR t0.age != 22) AND (t0.age >= 64 AND t0.age IN (22, 64)))
GROUP BY t1.region_id, t0.age;"
538,932,1363,195,2,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT books.id, markets.region
FROM markets RIGHT JOIN books ON markets.id = books.id
WHERE markets.region = 'AMERICA'
ORDER BY markets.region DESC, books.id DESC;"
539,11604,23544,239,22,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT regions.id
FROM employees CROSS JOIN regions
WHERE regions.id NOT BETWEEN 2 AND 9;"
540,678650,1554258,1074,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t1.price
FROM orders AS t0 JOIN books AS t1 ON t0.id = t1.id FULL JOIN employees AS t2 ON t0.id = t2.id
WHERE ((t0.customer_id > 224 AND t2.id NOT IN (2, 66, 67)) OR t0.customer_id < 119)
GROUP BY t1.price;"
541,7022,9744,836,11,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.id, COUNT(t1.department_id) AS c9704, COUNT(t1.department_id)
FROM books AS t0 CROSS JOIN employees AS t1
WHERE t0.id <= 2
GROUP BY t1.id;"
542,115640,650219,432,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT customers.region_id AS c2902
FROM customers LEFT JOIN users ON customers.id = users.id
GROUP BY customers.region_id;"
543,3449,5392,225,11,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 5,"SELECT books.price AS c9867, employees.department_id
FROM departments RIGHT JOIN books ON departments.id = books.id FULL JOIN employees ON departments.id = employees.id
ORDER BY employees.department_id DESC, books.price DESC;"
544,3332,5282,327,15,transformation 0 JoinCommutativity: 3; transformation 1 JoinAssociativity: 3; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT markets.note AS c8307, departments.id, books.price AS c1104
FROM markets JOIN books ON markets.id = books.id CROSS JOIN departments
WHERE (departments.id >= 24 OR (markets.id BETWEEN 1 AND 2 OR books.id <= 96))
ORDER BY departments.id DESC, books.price ASC, markets.note DESC;"
545,574,574,419,2,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.price AS c637, t0.id AS c2803
FROM books AS t0
WHERE t0.id IN (1, 2, 24)
GROUP BY t0.price, t0.id
ORDER BY t0.id ASC, t0.price ASC;"
546,366,366,131,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.note, t0.id AS c5805
FROM markets AS t0;"
547,159512,159512,395,329,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id, customers.region_id, COUNT(customers.id), COUNT(customers.id) AS c8210
FROM customers
WHERE (customers.id < 119 OR (customers.region_id <= 6 AND customers.region_id != 10))
GROUP BY customers.id, customers.region_id;"
548,433,433,143,2,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT books.id AS c7062, books.price AS c5593
FROM books
WHERE books.price <= 66
ORDER BY books.price DESC;"
549,515777,1057204,2573,7000,transformation 0 JoinCommutativity: 2; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT customers.id AS c529
FROM employees RIGHT JOIN users ON employees.id = users.id CROSS JOIN customers
WHERE ((employees.department_id != 65 AND customers.region_id >= 8) OR users.id < 15);"
550,112495,647074,363,501,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT users.id
FROM users FULL JOIN customers ON users.id = customers.id;"
551,125278,1217026,451,33,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t0.id AS c8412, t1.price AS c8263, COUNT(t1.id)
FROM employees AS t0 CROSS JOIN books AS t1 LEFT JOIN customers AS t2 ON t0.id = t2.id
GROUP BY t0.id, t1.price;"
552,61000,61000,264,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT customers.id
FROM customers;"
553,2585,3973,222,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t1.department_id, t0.price, COUNT(*) AS c1800
FROM books AS t0 FULL JOIN employees AS t1 ON t0.id = t1.id
WHERE (t1.department_id IS NOT NULL AND (t0.price IS NOT NULL OR t0.id IN (3)))
GROUP BY t1.department_id, t0.price;"
554,686187,175725622,1888,0,transformation 0 JoinCommutativity: 2; transformation 1 JoinAssociativity: 2; transformation 5 FilterPushdownThroughJoin: 3; transformation 6 InToOrChain: 1; transformation 11 OuterJoinToInner: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 2,"SELECT customers.id
FROM orders JOIN customers ON orders.id = customers.id RIGHT JOIN departments ON customers.id = departments.id
WHERE (orders.id IN (22, 50, 61, 149) AND orders.id IS NULL);"
555,563,563,171,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.note
FROM markets AS t0
WHERE (t0.id < 1 AND (t0.region = 'AMERICA' AND t0.id BETWEEN 2 AND 3))
GROUP BY t0.note;"
556,23036435700,23036435700,24496249,10,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.region_id
FROM users CROSS JOIN customers CROSS JOIN orders
GROUP BY customers.region_id;"
557,110500,110500,396,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.region_id, customers.id
FROM customers
ORDER BY customers.region_id ASC;"
558,3577,5636,167,17,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.region
FROM markets AS t0 FULL JOIN users AS t1 ON t0.id = t1.id;"
559,1220,1220,126,10,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT regions.id
FROM regions;"
560,672828,12055320,1633,27,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 5; transformation 6 InToOrChain: 1; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT employees.department_id, employees.id AS c3726, books.id
FROM books CROSS JOIN employees RIGHT JOIN orders ON employees.id = orders.id
WHERE (employees.department_id NOT IN (1, 35, 39, 88) AND (orders.id IS NOT NULL AND orders.customer_id != 133));"
561,111672,438832,491,2,implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 3,"SELECT t2.note AS c4598, t0.department_id AS c1378, t0.id AS c1288
FROM employees AS t0 FULL JOIN customers AS t1 ON t0.id = t1.id FULL JOIN markets AS t2 ON t0.id = t2.id
WHERE t2.region = 'AMERICA';"
562,1310198,6455692,1863,0,transformation 0 JoinCommutativity: 2; transformation 7 FilterToJoinPredicate: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.age, t2.price
FROM orders AS t0 LEFT JOIN users AS t1 ON t0.id = t1.id JOIN books AS t2 ON t1.id = t2.id
WHERE ((t1.age = 123 AND t2.id IS NULL) OR (t0.customer_id = 354 AND t0.customer_id = 252));"
563,3110874,5210874,2149,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id, COUNT(*), COUNT(*)
FROM markets AS t0 CROSS JOIN orders AS t1 RIGHT JOIN books AS t2 ON t1.id = t2.id
WHERE t2.price <= 42
GROUP BY t0.id
ORDER BY t0.id DESC;"
564,671553,4351363,1635,0,transformation 5 FilterPushdownThroughJoin: 3; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id AS c6853
FROM employees AS t0 RIGHT JOIN orders AS t1 ON t0.id = t1.id
WHERE ((t1.id IS NULL AND t1.customer_id < 172) AND t0.id != 67)
GROUP BY t0.id;"
565,89730,161130,646,765,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 5 ImplementCrossJoin: 1,"SELECT departments.id, users.id AS c5132
FROM users CROSS JOIN regions CROSS JOIN departments
WHERE regions.id <= 9;"
566,68272,155422,286,2,transformation 5 FilterPushdownThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1,"SELECT markets.id, markets.region, markets.note AS c6111
FROM markets RIGHT JOIN customers ON markets.id = customers.id
WHERE markets.id IN (2, 3, 23, 41);"
567,610000,610000,1279,5000,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT orders.customer_id, orders.id
FROM orders;"
568,366,366,122,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT books.price, books.id AS c5367
FROM books;"
569,8406,23335,962,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t2.age
FROM books AS t0 CROSS JOIN departments AS t1 FULL JOIN users AS t2 ON t0.id = t2.id
WHERE ((t1.id IS NOT NULL OR t2.id = 4) AND (t0.price BETWEEN 66 AND 77 OR t0.price IS NULL))
GROUP BY t2.age
ORDER BY t2.age ASC;"
570,3764,3764,176,11,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.department_id AS c7134, t0.id AS c6407, SUM(t0.department_id), COUNT(*)
FROM employees AS t0
WHERE (t0.id IN (1, 42, 51) OR (t0.department_id >= 3 OR t0.department_id <= 34))
GROUP BY t0.department_id, t0.id;"
571,366,366,125,3,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT markets.id, markets.note AS c5448, markets.region
FROM markets;"
572,2085,2085,151,9,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT regions.id
FROM regions
WHERE ((regions.id IN (7, 90) AND regions.id != 9) OR regions.id NOT IN (2, 2, 29))
ORDER BY regions.id DESC;"
573,260498,522188,1486,1500,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id, t2.price, COUNT(*)
FROM markets AS t0 CROSS JOIN customers AS t1 JOIN books AS t2 ON t0.id = t2.id
GROUP BY t1.id, t2.price
ORDER BY t2.price ASC, t1.id ASC;"
574,253000,463000,399,0,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT t0.region_id, t0.id
FROM customers AS t0 CROSS JOIN departments AS t1
WHERE t1.id < 1;"
575,2337,3832,213,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.price
FROM books AS t0 JOIN employees AS t1 ON t0.id = t1.id
WHERE t1.id >= 33;"
576,118847,653426,419,51,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT books.price, customers.id AS c8754, users.age AS c3420
FROM users LEFT JOIN customers ON users.id = customers.id CROSS JOIN books;"
577,1308754,6451833,1921,6,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT t0.customer_id, t1.id, t0.id AS c4362
FROM orders AS t0 FULL JOIN users AS t1 ON t0.id = t1.id
WHERE t1.age = 64
ORDER BY t1.id DESC, t0.customer_id ASC;"
578,2525500,4625500,12855,25000,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT departments.id, orders.id
FROM departments CROSS JOIN orders
WHERE departments.id != 45;"
579,5041,15375,514,9,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT users.id, regions.id
FROM regions JOIN users ON regions.id = users.id
WHERE users.id <= 8
ORDER BY users.id DESC, regions.id DESC;"
580,3134,4880,300,20,transformation 0 JoinCommutativity: 2; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT regions.id, markets.note AS c9073
FROM markets FULL JOIN regions ON markets.id = regions.id CROSS JOIN books
WHERE books.price IN (66, 77, 77);"
581,110137,157124,401,0,transformation 0 JoinCommutativity: 1; transformation 5 FilterPushdownThroughJoin: 2; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 5,"SELECT t1.id
FROM books AS t0 FULL JOIN customers AS t1 ON t0.id = t1.id RIGHT JOIN departments AS t2 ON t0.id = t2.id
WHERE t1.region_id IN (9, 64)
GROUP BY t1.id
ORDER BY t1.id DESC;"
582,61000,61000,241,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT customers.region_id AS c8490
FROM customers;"
583,3759405,3875500,347832,2500000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.id, t2.id, t2.customer_id
FROM customers AS t0 LEFT JOIN departments AS t1 ON t0.id = t1.id CROSS JOIN orders AS t2;"
584,69714,156902,422,6,transformation 10 ProjectionPushdownThroughJoin: 7; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 4; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT markets.region
FROM markets JOIN customers ON markets.id = customers.id CROSS JOIN books
WHERE ((books.id IN (2, 3, 3, 63) AND markets.region != 'ASIA') OR (customers.region_id IS NOT NULL AND markets.id > 81));"
585,92456,92456,284,313,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT customers.region_id, customers.id AS c9727
FROM customers
WHERE ((customers.region_id IN (6) OR customers.id IS NULL) OR (customers.id = 66 OR customers.region_id BETWEEN 5 AND 60));"
586,4783,7022,267,4,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 5,"SELECT t0.region, t1.price, SUM(t1.id), SUM(t2.age)
FROM markets AS t0 LEFT JOIN books AS t1 ON t0.id = t1.id RIGHT JOIN users AS t2 ON t1.id = t2.id
GROUP BY t0.region, t1.price;"
587,1317032,1561792,29744,85000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT users.id
FROM orders FULL JOIN books ON orders.id = books.id CROSS JOIN users
ORDER BY users.id DESC;"
588,87300,1807800,399,50,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1,"SELECT t2.region_id AS c6587, t1.id AS c973, t0.id
FROM regions AS t0 CROSS JOIN departments AS t1 JOIN customers AS t2 ON t1.id = t2.id;"
589,1033750,1033750,1719,5000,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT orders.customer_id
FROM orders
WHERE (orders.customer_id >= 10 OR (orders.id >= 28 OR orders.id != 171));"
